
Host: Kevins-MacBook-Pro.local

JK: (Q|mn)  :       0.00u       0.00s       0.00w      2 calls
Form H      :       0.00u       0.00s       0.00w      2 calls
Form S/X    :       0.00u       0.00s       0.00w      2 calls
Guess       :       0.00u       0.00s       0.00w      2 calls
Form G      :       0.05u       0.00s       0.00w     14 calls
JK: D       :       0.00u       0.00s       0.00w     14 calls
JK: USO2AO  :       0.00u       0.00s       0.00w     11 calls
JK: JK      :       0.00u       0.00s       0.00w     14 calls
JK: J       :       0.00u       0.00s       0.00w     11 calls
JK: J1      :       0.00u       0.00s       0.00w     11 calls
JK: J2      :       0.00u       0.00s       0.00w     11 calls
JK: K       :       0.00u       0.00s       0.00w     11 calls
JK: K1      :       0.00u       0.00s       0.00w     11 calls
JK: K2      :       0.00u       0.00s       0.00w     11 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     11 calls
Form F      :       0.00u       0.00s       0.00w     14 calls
DIIS        :       0.00u       0.00s       0.00w     14 calls
DIISManager::add_entry:       0.00u       0.00s       0.00w     14 calls
Form C      :       0.00u       0.00s       0.00w     14 calls
Form D      :       0.00u       0.00s       0.00w     14 calls
DIISManager::extrapolate:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s       0.00w     12 calls

***********************************************************

Host: Kevins-MacBook-Pro.local

Timers On : Wed Nov 26 18:15:09 2014
Timers Off: Wed Nov 26 18:15:10 2014

Wall Time:        1.00 seconds

JK: (A|mn)  :       0.00u       0.00s       0.00w      2 calls
JK: (A|Q)^-1/2:       0.10u       0.00s       0.00w      2 calls
JK: (Q|mn)  :       0.00u       0.00s       0.00w      2 calls
Form H      :       0.00u       0.00s       0.00w      2 calls
Form S/X    :       0.00u       0.00s       0.00w      2 calls
Guess       :       0.00u       0.00s       0.00w      2 calls
Form G      :       0.05u       0.00s       0.00w     14 calls
JK: D       :       0.00u       0.00s       0.00w     14 calls
JK: USO2AO  :       0.00u       0.00s       0.00w     11 calls
JK: JK      :       0.00u       0.00s       0.00w     14 calls
JK: J       :       0.00u       0.00s       0.00w     11 calls
JK: J1      :       0.00u       0.00s       0.00w     11 calls
JK: J2      :       0.00u       0.00s       0.00w     11 calls
JK: K       :       0.00u       0.00s       0.00w     11 calls
JK: K1      :       0.00u       0.00s       0.00w     11 calls
JK: K2      :       0.00u       0.00s       0.00w     11 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     11 calls
Form F      :       0.00u       0.00s       0.00w     14 calls
DIIS        :       0.00u       0.00s       0.00w     14 calls
DIISManager::add_entry:       0.00u       0.00s       0.00w     14 calls
Form C      :       0.00u       0.00s       0.00w     14 calls
Form D      :       0.00u       0.00s       0.00w     14 calls
DIISManager::extrapolate:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s       0.00w     12 calls

***********************************************************

Host: Kevins-MacBook-Pro.local

Timers On : Wed Nov 26 18:18:30 2014
Timers Off: Wed Nov 26 18:18:30 2014

Wall Time:        0.00 seconds

JK: (A|mn)  :       0.00u       0.00s       0.00w      2 calls
JK: (A|Q)^-1/2:       0.10u       0.00s       0.00w      2 calls
JK: (Q|mn)  :       0.00u       0.00s       0.00w      2 calls
Form H      :       0.00u       0.00s       0.00w      2 calls
Form S/X    :       0.00u       0.00s       0.00w      2 calls
Guess       :       0.00u       0.00s       0.00w      2 calls
Form G      :       0.05u       0.00s       0.00w     14 calls
JK: D       :       0.00u       0.00s       0.00w     14 calls
JK: USO2AO  :       0.00u       0.00s       0.00w     11 calls
JK: JK      :       0.00u       0.00s       0.00w     14 calls
JK: J       :       0.00u       0.00s       0.00w     11 calls
JK: J1      :       0.00u       0.00s       0.00w     11 calls
JK: J2      :       0.00u       0.00s       0.00w     11 calls
JK: K       :       0.00u       0.00s       0.00w     11 calls
JK: K1      :       0.00u       0.00s       0.00w     11 calls
JK: K2      :       0.00u       0.00s       0.00w     11 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     11 calls
Form F      :       0.00u       0.00s       0.00w     14 calls
DIIS        :       0.00u       0.02s       0.00w     14 calls
DIISManager::add_entry:       0.00u       0.00s       0.00w     14 calls
Form C      :       0.00u       0.00s       0.00w     14 calls
Form D      :       0.00u       0.00s       0.00w     14 calls
DIISManager::extrapolate:       0.00u       0.02s       0.00w     12 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s       0.00w     12 calls

***********************************************************

Host: Kevins-MacBook-Pro.local

Timers On : Wed Nov 26 18:20:33 2014
Timers Off: Wed Nov 26 18:20:34 2014

Wall Time:        1.00 seconds

JK: (A|mn)  :       0.00u       0.00s       0.00w      2 calls
JK: (A|Q)^-1/2:       0.10u       0.00s       0.00w      2 calls
JK: (Q|mn)  :       0.00u       0.00s       0.00w      2 calls
Form H      :       0.00u       0.00s       0.00w      2 calls
Form S/X    :       0.00u       0.00s       0.00w      2 calls
Guess       :       0.00u       0.00s       0.00w      2 calls
Form G      :       0.05u       0.00s       0.00w     14 calls
JK: D       :       0.00u       0.00s       0.00w     14 calls
JK: USO2AO  :       0.00u       0.00s       0.00w     11 calls
JK: JK      :       0.00u       0.00s       0.00w     14 calls
JK: J       :       0.00u       0.00s       0.00w     11 calls
JK: J1      :       0.00u       0.00s       0.00w     11 calls
JK: J2      :       0.00u       0.00s       0.00w     11 calls
JK: K       :       0.00u       0.00s       0.00w     11 calls
JK: K1      :       0.00u       0.00s       0.00w     11 calls
JK: K2      :       0.00u       0.00s       0.00w     11 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     11 calls
Form F      :       0.00u       0.00s       0.00w     14 calls
DIIS        :       0.00u       0.00s       0.00w     14 calls
DIISManager::add_entry:       0.00u       0.00s       0.00w     14 calls
Form C      :       0.00u       0.00s       0.00w     14 calls
Form D      :       0.00u       0.00s       0.00w     14 calls
DIISManager::extrapolate:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s       0.00w     12 calls

***********************************************************

Host: Kevins-MacBook-Pro.local

Timers On : Wed Nov 26 18:24:04 2014
Timers Off: Wed Nov 26 18:24:04 2014

Wall Time:        0.00 seconds

JK: (A|mn)  :       0.02u       0.00s       0.00w      2 calls
JK: (A|Q)^-1/2:       0.08u       0.00s       0.00w      2 calls
JK: (Q|mn)  :       0.00u       0.00s       0.00w      2 calls
Form H      :       0.00u       0.00s       0.00w      2 calls
Form S/X    :       0.00u       0.00s       0.00w      2 calls
Guess       :       0.00u       0.00s       0.00w      2 calls
Form G      :       0.03u       0.00s       0.00w     14 calls
JK: D       :       0.00u       0.00s       0.00w     14 calls
JK: USO2AO  :       0.00u       0.00s       0.00w     11 calls
JK: JK      :       0.00u       0.00s       0.00w     14 calls
JK: J       :       0.00u       0.00s       0.00w     11 calls
JK: J1      :       0.00u       0.00s       0.00w     11 calls
JK: J2      :       0.00u       0.00s       0.00w     11 calls
JK: K       :       0.00u       0.00s       0.00w     11 calls
JK: K1      :       0.00u       0.00s       0.00w     11 calls
JK: K2      :       0.00u       0.00s       0.00w     11 calls
JK: AO2USO  :       0.00u       0.00s       0.00w     11 calls
Form F      :       0.00u       0.00s       0.00w     14 calls
DIIS        :       0.00u       0.00s       0.00w     14 calls
DIISManager::add_entry:       0.00u       0.00s       0.00w     14 calls
Form C      :       0.02u       0.00s       0.00w     14 calls
Form D      :       0.00u       0.00s       0.00w     14 calls
DIISManager::extrapolate:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix setup:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s       0.00w     12 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s       0.00w     12 calls

***********************************************************

Host: Kevins-MacBook-Pro.local

Timers On : Wed Nov 26 18:24:23 2014
Timers Off: Wed Nov 26 18:24:23 2014

Wall Time:        0.00 seconds

